year,school,games,points,passing_cmp,passing_att,passing_pct,passing_yds,passing_td,rushing_att,rushing_yds,rushing_avg,rushing_td,total_plays,total_yds,total_avg,first_down_pass,first_down_rush,first_down_pen,first_down_total,penalties,penalty_yds,fumbles,intceptions,turnovers
1970-01-01 00:00:00.000002000,Boise State,11.0,44.9,20.5,33.8,60.5,321.5,3.4,40.0,174.7,4.4,2.1,73.8,496.3,6.7,13.5,8.9,1.5,23.9,6.2,63.5,0.6,0.7,1.4
1970-01-01 00:00:00.000002000,Miami (FL),11.0,42.6,18.0,30.9,58.2,266.0,2.4,39.5,194.8,4.9,2.2,70.4,460.8,6.5,12.1,7.7,1.4,21.2,8.8,86.5,1.5,0.5,1.9
1970-01-01 00:00:00.000002000,Florida State,12.0,42.4,24.2,39.1,61.8,384.0,3.0,37.9,165.0,4.4,2.3,77.0,549.0,7.1,14.5,8.0,2.8,25.3,10.2,93.9,0.7,1.2,1.8
1970-01-01 00:00:00.000002000,Nebraska,11.0,41.5,7.6,15.6,48.8,110.6,1.0,57.8,349.3,6.0,4.1,73.5,459.9,6.3,5.2,16.8,0.9,22.9,6.5,56.5,0.8,0.7,1.5
1970-01-01 00:00:00.000002000,Virginia Tech,11.0,40.3,10.5,20.5,51.3,155.9,0.8,51.8,270.5,5.2,4.2,72.4,426.4,5.9,6.5,14.7,1.2,22.5,6.4,55.7,1.5,0.6,2.1
1970-01-01 00:00:00.000002000,Kansas State,13.0,39.5,12.8,26.0,49.1,211.9,1.5,45.8,198.1,4.3,3.2,71.8,410.0,5.7,8.2,11.2,1.8,21.2,8.3,71.6,0.8,1.0,1.8
1970-01-01 00:00:00.000002000,Oklahoma,12.0,39.0,24.1,37.5,64.2,294.7,1.8,34.2,134.6,3.9,2.7,71.7,429.3,6.0,12.3,7.4,1.8,21.6,7.7,65.3,0.8,1.4,2.3
1970-01-01 00:00:00.000002000,Texas,11.0,38.6,20.0,36.1,55.4,293.2,2.4,36.9,145.5,3.9,1.7,73.0,438.6,6.0,11.0,8.5,1.9,21.5,8.1,71.4,1.0,1.3,2.3
1970-01-01 00:00:00.000002000,Northwestern,11.0,38.5,18.4,31.5,58.4,218.4,1.7,51.4,257.3,5.0,3.3,82.8,475.6,5.7,10.1,12.3,1.4,23.7,9.5,83.1,0.5,0.6,1.2
1970-01-01 00:00:00.000002000,Florida,12.0,37.3,22.1,38.8,56.9,308.2,2.8,30.1,110.5,3.7,1.7,68.9,418.7,6.1,12.2,7.5,1.6,21.3,7.8,57.7,0.8,1.0,1.8
1970-01-01 00:00:00.000002000,TCU,11.0,37.3,9.6,16.7,57.6,145.5,1.5,53.5,275.6,5.2,3.0,70.2,421.1,6.0,6.1,13.1,1.5,20.6,8.3,75.9,0.8,0.7,1.5
1970-01-01 00:00:00.000002000,Northern Illinois,11.0,37.2,13.5,24.9,54.4,199.7,1.2,49.0,228.1,4.7,3.2,73.9,427.8,5.8,9.2,11.5,2.5,23.2,5.8,52.9,0.7,1.0,1.7
1970-01-01 00:00:00.000002000,Toledo,11.0,36.4,15.4,27.3,56.3,150.7,1.2,46.7,253.8,5.4,2.6,74.0,404.5,5.5,8.3,12.5,1.2,22.0,4.5,41.8,0.5,0.4,0.8
1970-01-01 00:00:00.000002000,Clemson,11.0,36.0,14.5,26.9,53.7,210.1,1.5,50.6,236.4,4.7,3.0,77.5,446.5,5.8,8.5,12.6,1.6,22.7,8.8,80.9,0.8,0.8,1.6
1970-01-01 00:00:00.000002000,Louisville,11.0,35.3,21.3,35.4,60.2,256.5,2.5,37.2,134.3,3.6,1.8,72.5,390.8,5.4,12.2,6.4,1.6,20.2,11.6,101.6,1.3,1.1,2.4
1970-01-01 00:00:00.000002000,Air Force,11.0,34.9,10.5,18.6,56.6,157.0,1.2,58.8,294.9,5.0,3.0,77.5,451.9,5.8,7.7,16.4,1.4,25.5,5.4,41.2,0.5,0.5,1.1
1970-01-01 00:00:00.000002000,Michigan,11.0,33.9,15.9,27.3,58.3,225.3,2.2,45.5,220.2,4.8,2.1,72.7,445.5,6.1,9.9,11.2,1.1,22.2,5.6,48.6,0.9,0.5,1.4
1970-01-01 00:00:00.000002000,Georgia Tech,11.0,33.8,21.0,34.0,61.8,271.1,2.1,42.4,164.3,3.9,1.9,76.4,435.4,5.7,12.9,9.5,1.1,23.5,8.4,69.9,0.5,0.5,1.1
1970-01-01 00:00:00.000002000,Oregon State,11.0,32.6,14.1,29.1,48.4,225.4,1.5,45.2,186.1,4.1,2.4,74.3,411.5,5.5,9.5,10.2,1.9,21.5,8.8,81.0,0.8,0.6,1.5
1970-01-01 00:00:00.000002000,Tennessee,11.0,32.6,19.3,32.2,59.9,210.5,1.9,39.9,162.7,4.1,1.8,72.1,373.2,5.2,9.8,9.1,1.4,20.3,6.3,52.3,0.7,1.0,1.7
1970-01-01 00:00:00.000002000,Purdue,11.0,32.5,26.5,44.5,59.7,312.5,2.4,37.7,158.6,4.2,1.8,82.2,471.2,5.7,15.5,8.7,1.6,25.8,5.5,43.4,0.6,1.1,1.7
1970-01-01 00:00:00.000002000,UTEP,11.0,32.3,18.8,32.2,58.5,248.2,2.4,43.0,159.3,3.7,1.7,75.2,407.5,5.4,10.5,8.5,3.0,22.0,7.6,61.8,1.2,0.6,1.8
1970-01-01 00:00:00.000002000,Washington,11.0,32.1,15.5,29.5,52.6,196.2,1.3,44.3,211.7,4.8,2.8,73.8,407.9,5.5,8.6,11.0,2.3,21.9,7.5,65.0,1.5,1.0,2.5
1970-01-01 00:00:00.000002000,Middle Tennessee State,11.0,31.8,19.8,33.3,59.6,239.2,1.3,36.7,194.4,5.3,2.7,70.0,433.5,6.2,10.6,9.4,2.0,22.0,7.2,65.5,0.9,1.0,1.9
1970-01-01 00:00:00.000002000,Boston College,11.0,31.5,15.5,27.9,55.7,213.9,1.8,41.9,201.0,4.8,2.0,69.8,414.9,5.9,9.4,10.0,1.3,20.6,7.2,53.6,0.3,1.1,1.4
1970-01-01 00:00:00.000002000,Mississippi State,11.0,31.5,14.2,25.6,55.3,192.5,0.8,41.9,193.8,4.6,2.5,67.5,386.4,5.7,7.2,10.1,0.9,18.2,10.3,86.9,1.4,0.8,2.2
1970-01-01 00:00:00.000002000,Minnesota,11.0,31.4,16.9,29.3,57.8,234.9,1.8,43.9,187.5,4.3,1.5,73.2,422.5,5.8,8.7,10.3,1.5,20.5,7.1,63.5,0.8,0.7,1.5
1970-01-01 00:00:00.000002000,Notre Dame,11.0,31.3,9.7,18.2,53.5,132.2,1.5,48.9,213.5,4.4,2.2,67.1,345.7,5.2,5.1,11.3,1.0,17.4,6.4,56.8,0.4,0.4,0.7
1970-01-01 00:00:00.000002000,Ohio,11.0,31.2,5.7,12.2,47.0,95.1,0.9,58.7,323.0,5.5,2.9,70.9,418.1,5.9,4.3,16.8,1.3,22.4,5.9,48.7,0.9,0.7,1.6
1970-01-01 00:00:00.000002000,San Jose State,12.0,31.2,15.8,31.4,50.1,228.3,1.3,35.8,189.1,5.3,2.4,67.2,417.3,6.2,9.6,8.4,1.5,19.5,8.3,65.3,0.7,1.1,1.8
1970-01-01 00:00:00.000002000,Colorado State,11.0,31.0,19.1,32.4,59.0,247.0,2.0,36.2,137.3,3.8,1.6,68.5,384.3,5.6,11.4,7.7,1.5,20.5,3.9,32.4,1.0,1.2,2.2
1970-01-01 00:00:00.000002000,North Carolina State,11.0,31.0,22.0,41.4,53.2,292.5,2.5,31.9,103.8,3.3,1.2,73.3,396.4,5.4,11.8,6.9,2.1,20.8,8.8,75.9,0.8,1.0,1.8
1970-01-01 00:00:00.000002000,Indiana,11.0,30.6,12.8,27.1,47.3,172.7,1.0,45.9,266.4,5.8,3.1,73.0,439.1,6.0,7.5,13.5,2.4,23.4,6.5,55.6,1.4,1.4,2.7
1970-01-01 00:00:00.000002000,Akron,11.0,30.3,13.3,26.2,50.7,210.5,1.5,44.5,206.6,4.6,1.9,70.7,417.2,5.9,8.4,11.1,1.6,21.1,7.3,70.4,0.7,1.0,1.7
1970-01-01 00:00:00.000002000,UCF,11.0,30.3,22.6,37.7,60.0,295.2,2.5,28.1,78.7,2.8,1.2,65.8,373.9,5.7,12.8,5.9,1.5,20.3,8.8,72.5,1.2,1.6,2.8
1970-01-01 00:00:00.000002000,UCLA,11.0,30.3,17.8,33.0,54.0,264.0,2.1,38.6,98.7,2.6,1.6,71.6,362.7,5.1,10.8,6.4,2.2,19.4,7.0,62.2,1.0,1.0,2.0
1970-01-01 00:00:00.000002000,East Carolina,11.0,30.0,15.5,30.7,50.3,224.8,1.9,40.5,161.5,4.0,1.5,71.3,386.3,5.4,9.1,9.4,1.3,19.7,5.1,49.0,0.5,1.1,1.5
1970-01-01 00:00:00.000002000,Tulane,11.0,29.9,26.2,46.0,56.9,324.5,2.5,35.5,129.1,3.6,0.9,81.5,453.5,5.6,15.1,7.5,2.2,24.8,9.2,86.7,0.7,1.5,2.2
1970-01-01 00:00:00.000002000,Western Michigan,12.0,29.9,18.5,31.8,58.1,232.1,1.4,41.0,168.5,4.1,2.3,72.8,400.6,5.5,11.4,8.8,1.3,21.5,5.7,49.6,0.8,1.0,1.8
1970-01-01 00:00:00.000002000,Ohio State,11.0,29.5,14.4,27.7,51.8,208.4,1.3,43.4,161.9,3.7,1.6,71.1,370.3,5.2,9.1,8.5,1.1,18.7,8.1,74.3,0.5,1.1,1.6
1970-01-01 00:00:00.000002000,Idaho,11.0,29.2,24.1,38.9,61.9,305.2,2.2,38.0,148.0,3.9,1.5,76.9,453.2,5.9,12.7,8.8,1.0,22.5,7.1,62.0,0.9,1.7,2.6
1970-01-01 00:00:00.000002000,Oregon,11.0,28.7,18.4,35.6,51.5,257.7,1.8,39.6,151.2,3.8,1.6,75.3,408.9,5.4,10.7,7.8,2.2,20.7,8.0,72.0,0.6,1.2,1.8
1970-01-01 00:00:00.000002000,Marshall,12.0,28.5,24.4,40.3,60.7,298.7,2.0,31.7,113.5,3.6,1.5,71.9,412.2,5.7,12.8,6.6,1.2,20.5,6.3,54.8,0.8,0.8,1.7
1970-01-01 00:00:00.000002000,Ole Miss,11.0,28.5,16.2,29.9,54.1,200.2,1.7,37.1,146.8,4.0,1.6,67.0,347.0,5.2,9.3,7.7,0.9,17.9,6.1,52.4,0.5,1.2,1.6
1970-01-01 00:00:00.000002000,UNLV,12.0,28.3,10.8,20.4,52.7,159.3,1.3,45.6,227.8,5.0,2.0,66.0,387.1,5.9,7.0,10.9,0.9,18.8,6.3,56.6,0.9,0.8,1.8
1970-01-01 00:00:00.000002000,Texas A&M,11.0,27.9,19.2,32.3,59.4,235.3,0.9,38.3,146.4,3.8,2.5,70.5,381.6,5.4,10.3,8.7,2.0,21.0,6.5,57.2,0.7,0.8,1.5
1970-01-01 00:00:00.000002000,West Virginia,11.0,27.9,13.7,29.5,46.6,207.5,1.0,41.0,140.8,3.4,1.8,70.5,348.3,4.9,8.6,7.5,1.9,18.0,6.3,51.5,1.1,0.9,2.0
1970-01-01 00:00:00.000002000,Iowa State,11.0,27.8,15.9,31.0,51.3,215.6,0.8,40.6,208.0,5.1,2.5,71.6,423.6,5.9,9.1,9.5,2.2,20.8,7.2,67.5,0.5,1.2,1.6
