team,year,group,wins,losses,winning_pct,conf_wins,conf_losses,conf_winning_pct,ppg_offense,ppg_defense,SRS,SOS
Florida State,2000,0,11.0,2.0,0.846,8.0,0.0,1.0,39.3,10.5,23.13,5.59
Clemson,2000,0,9.0,3.0,0.75,6.0,2.0,0.75,34.7,21.1,11.54,2.04
Georgia Tech,2000,0,9.0,3.0,0.75,6.0,2.0,0.75,32.2,19.8,11.3,1.21
Virginia,2000,1,6.0,6.0,0.5,5.0,3.0,0.625,20.2,24.3,0.1,3.18
North Carolina State,2000,1,8.0,4.0,0.667,4.0,4.0,0.5,31.6,28.2,3.92,-0.33
North Carolina,2000,1,6.0,5.0,0.545,3.0,5.0,0.375,24.5,25.8,2.4,1.85
Maryland,2000,1,5.0,6.0,0.455,3.0,5.0,0.375,22.5,25.8,0.54,2.26
Wake Forest,2000,2,2.0,9.0,0.182,1.0,7.0,0.125,16.5,32.9,-12.27,0.09
Duke,2000,2,0.0,11.0,0.0,0.0,8.0,0.0,14.1,39.1,-13.91,4.63
Nebraska,2000,0,10.0,2.0,0.833,6.0,2.0,0.75,43.5,19.2,19.01,4.51
Kansas State,2000,0,11.0,3.0,0.786,6.0,2.0,0.75,39.2,18.6,15.72,3.93
Iowa State,2000,0,9.0,3.0,0.75,5.0,3.0,0.625,28.6,26.8,6.43,2.84
Colorado,2000,1,3.0,8.0,0.273,3.0,5.0,0.375,22.9,25.8,3.56,7.92
Kansas,2000,2,4.0,7.0,0.364,2.0,6.0,0.25,23.7,32.6,-1.95,4.6
Missouri,2000,2,3.0,8.0,0.273,2.0,6.0,0.25,23.2,31.6,-2.63,3.55
Oklahoma,2000,0,13.0,0.0,1.0,8.0,0.0,1.0,37.0,14.9,21.56,5.32
Texas,2000,0,9.0,3.0,0.75,7.0,1.0,0.875,37.9,19.3,13.78,0.78
Texas A&M,2000,1,7.0,5.0,0.583,5.0,3.0,0.625,29.0,19.9,11.44,5.03
Texas Tech,2000,1,7.0,6.0,0.538,3.0,5.0,0.375,25.4,21.4,4.81,1.65
