year,school,conference,wins,losses,winning_pct,conf_wins,conf_losses,conf_winning_pct,ppg_offence,ppg_defence,SRS,SOS
1970-01-01 00:00:00.000002000,Florida State,ACC,11.0,2.0,0.846,8.0,0.0,1.0,39.3,10.5,23.13,5.59
1970-01-01 00:00:00.000002000,Clemson,ACC,9.0,3.0,0.75,6.0,2.0,0.75,34.7,21.1,11.54,2.04
1970-01-01 00:00:00.000002000,Georgia Tech,ACC,9.0,3.0,0.75,6.0,2.0,0.75,32.2,19.8,11.3,1.21
1970-01-01 00:00:00.000002000,Virginia,ACC,6.0,6.0,0.5,5.0,3.0,0.625,20.2,24.3,0.1,3.18
1970-01-01 00:00:00.000002000,North Carolina State,ACC,8.0,4.0,0.667,4.0,4.0,0.5,31.6,28.2,3.92,-0.33
1970-01-01 00:00:00.000002000,North Carolina,ACC,6.0,5.0,0.545,3.0,5.0,0.375,24.5,25.8,2.4,1.85
1970-01-01 00:00:00.000002000,Maryland,ACC,5.0,6.0,0.455,3.0,5.0,0.375,22.5,25.8,0.54,2.26
1970-01-01 00:00:00.000002000,Wake Forest,ACC,2.0,9.0,0.182,1.0,7.0,0.125,16.5,32.9,-12.27,0.09
1970-01-01 00:00:00.000002000,Duke,ACC,0.0,11.0,0.0,0.0,8.0,0.0,14.1,39.1,-13.91,4.63
1970-01-01 00:00:00.000002000,Nebraska,Big 12 (North),10.0,2.0,0.833,6.0,2.0,0.75,43.5,19.2,19.01,4.51
1970-01-01 00:00:00.000002000,Kansas State,Big 12 (North),11.0,3.0,0.786,6.0,2.0,0.75,39.2,18.6,15.72,3.93
1970-01-01 00:00:00.000002000,Iowa State,Big 12 (North),9.0,3.0,0.75,5.0,3.0,0.625,28.6,26.8,6.43,2.84
1970-01-01 00:00:00.000002000,Colorado,Big 12 (North),3.0,8.0,0.273,3.0,5.0,0.375,22.9,25.8,3.56,7.92
1970-01-01 00:00:00.000002000,Kansas,Big 12 (North),4.0,7.0,0.364,2.0,6.0,0.25,23.7,32.6,-1.95,4.6
1970-01-01 00:00:00.000002000,Missouri,Big 12 (North),3.0,8.0,0.273,2.0,6.0,0.25,23.2,31.6,-2.63,3.55
1970-01-01 00:00:00.000002000,Oklahoma,Big 12 (South),13.0,0.0,1.0,8.0,0.0,1.0,37.0,14.9,21.56,5.32
1970-01-01 00:00:00.000002000,Texas,Big 12 (South),9.0,3.0,0.75,7.0,1.0,0.875,37.9,19.3,13.78,0.78
1970-01-01 00:00:00.000002000,Texas A&M,Big 12 (South),7.0,5.0,0.583,5.0,3.0,0.625,29.0,19.9,11.44,5.03
1970-01-01 00:00:00.000002000,Texas Tech,Big 12 (South),7.0,6.0,0.538,3.0,5.0,0.375,25.4,21.4,4.81,1.65
1970-01-01 00:00:00.000002000,Oklahoma State,Big 12 (South),3.0,8.0,0.273,1.0,7.0,0.125,18.4,27.5,-3.18,2.63
1970-01-01 00:00:00.000002000,Baylor,Big 12 (South),2.0,9.0,0.182,0.0,8.0,0.0,12.6,36.1,-11.48,4.71
1970-01-01 00:00:00.000002000,Miami (FL),Big East,11.0,1.0,0.917,7.0,0.0,1.0,42.2,15.8,23.22,5.22
1970-01-01 00:00:00.000002000,Virginia Tech,Big East,11.0,1.0,0.917,6.0,1.0,0.857,40.3,22.4,19.42,4.0
1970-01-01 00:00:00.000002000,Pitt,Big East,7.0,5.0,0.583,4.0,3.0,0.571,24.7,20.6,5.68,1.93
1970-01-01 00:00:00.000002000,Syracuse,Big East,6.0,5.0,0.545,4.0,3.0,0.571,26.7,19.3,6.94,3.12
1970-01-01 00:00:00.000002000,Boston College,Big East,7.0,5.0,0.583,3.0,4.0,0.429,31.5,23.1,6.3,1.72
1970-01-01 00:00:00.000002000,West Virginia,Big East,7.0,5.0,0.583,3.0,4.0,0.429,29.7,30.3,6.29,5.54
1970-01-01 00:00:00.000002000,Temple,Big East,4.0,7.0,0.364,1.0,6.0,0.143,20.4,24.5,-3.09,1.36
1970-01-01 00:00:00.000002000,Rutgers,Big East,3.0,8.0,0.273,0.0,7.0,0.0,21.2,36.3,-8.67,2.15
1970-01-01 00:00:00.000002000,Michigan,Big Ten,9.0,3.0,0.75,6.0,2.0,0.75,33.7,19.1,12.93,2.93
1970-01-01 00:00:00.000002000,Northwestern,Big Ten,8.0,4.0,0.667,6.0,2.0,0.75,36.8,33.3,8.85,4.26
1970-01-01 00:00:00.000002000,Purdue,Big Ten,8.0,4.0,0.667,6.0,2.0,0.75,31.8,22.2,9.26,2.93
1970-01-01 00:00:00.000002000,Ohio State,Big Ten,8.0,4.0,0.667,5.0,3.0,0.625,27.6,18.5,10.97,4.13
1970-01-01 00:00:00.000002000,Wisconsin,Big Ten,9.0,4.0,0.692,4.0,4.0,0.5,25.2,20.4,9.65,4.42
1970-01-01 00:00:00.000002000,Minnesota,Big Ten,6.0,6.0,0.5,4.0,4.0,0.5,31.3,26.5,3.02,0.1
1970-01-01 00:00:00.000002000,Penn State,Big Ten,5.0,7.0,0.417,4.0,4.0,0.5,22.0,24.4,-0.05,3.71
1970-01-01 00:00:00.000002000,Iowa,Big Ten,3.0,9.0,0.25,3.0,5.0,0.375,16.9,27.5,-2.4,6.86
1970-01-01 00:00:00.000002000,Illinois,Big Ten,5.0,6.0,0.455,2.0,6.0,0.25,26.7,26.0,2.59,2.31
1970-01-01 00:00:00.000002000,Michigan State,Big Ten,5.0,6.0,0.455,2.0,6.0,0.25,17.9,21.2,2.79,5.52
1970-01-01 00:00:00.000002000,Indiana,Big Ten,3.0,8.0,0.273,2.0,6.0,0.25,30.6,38.8,-2.67,3.88
1970-01-01 00:00:00.000002000,Boise State,Big West,10.0,2.0,0.833,5.0,0.0,1.0,44.3,22.8,6.78,-8.8
1970-01-01 00:00:00.000002000,Utah State,Big West,5.0,6.0,0.455,4.0,1.0,0.8,26.5,32.4,-11.16,-5.53
1970-01-01 00:00:00.000002000,Idaho,Big West,5.0,6.0,0.455,3.0,2.0,0.6,29.2,34.3,-7.41,-3.23
