year,school,games,points,passing_cmp,passing_att,passing_pct,passing_yds,passing_td,rushing_att,rushing_yds,rushing_avg,rushing_td,total_plays,total_yds,total_avg,first_down_pass,first_down_rush,first_down_pen,first_down_total,penalties,penalty_yds,fumbles,intceptions,turnovers
2000,TCU,11,9.6,13.0,29.4,44.3,160.6,0.9,35.9,84.4,2.3,0.3,65.3,245.0,3.8,6.6,5.8,2.1,14.5,6.4,46.8,1.1,1.4,2.5
2000,Florida State,12,10.3,18.3,37.3,49.2,203.1,0.6,32.3,73.9,2.3,0.5,69.5,277.0,4.0,9.0,4.9,2.4,16.3,11.1,89.4,1.1,1.6,2.7
2000,Toledo,11,11.4,16.4,30.7,53.3,187.5,0.5,33.2,81.5,2.5,0.9,63.9,269.0,4.2,8.5,5.1,0.9,14.5,5.5,43.3,1.5,1.4,2.8
2000,Western Michigan,12,11.6,14.9,28.8,51.9,178.0,0.8,38.2,105.3,2.8,0.3,66.9,283.3,4.2,7.9,6.5,1.1,15.5,5.7,45.4,0.8,0.8,1.5
2000,Miami (FL),11,15.5,19.6,38.9,50.5,220.6,1.0,35.7,112.7,3.2,1.0,74.6,333.4,4.5,9.8,6.5,2.2,18.5,7.5,55.4,0.9,2.1,3.0
2000,South Carolina,11,15.8,18.3,33.4,54.8,193.0,0.5,35.1,115.1,3.3,1.1,68.5,308.1,4.5,8.8,6.8,1.3,16.9,7.9,58.2,0.7,1.6,2.4
2000,Oklahoma,12,16.0,16.3,33.1,49.4,170.8,0.8,34.3,108.2,3.2,1.1,67.4,278.9,4.1,6.7,6.8,1.5,14.9,6.3,52.6,0.9,1.8,2.8
2000,Southern Mississippi,11,16.5,16.9,33.6,50.3,162.5,0.8,37.6,105.6,2.8,0.7,71.3,268.2,3.8,7.4,6.3,1.3,14.9,7.2,63.0,0.8,1.3,2.1
2000,UAB,11,17.5,17.9,33.9,52.8,207.4,1.1,35.1,83.5,2.4,0.8,69.0,290.9,4.2,9.8,5.6,2.0,17.5,8.5,74.1,0.9,1.3,2.2
2000,Texas A&M,11,17.8,17.6,33.3,53.0,215.4,1.2,35.4,106.3,3.0,0.6,68.6,321.6,4.7,8.8,6.8,1.7,17.4,7.9,72.2,0.5,1.6,2.1
2000,Texas,11,17.9,15.5,34.5,45.1,184.3,0.7,35.2,94.0,2.7,1.1,69.6,278.3,4.0,7.5,6.0,2.8,16.3,8.2,63.0,1.5,1.5,3.0
2000,Georgia,11,18.0,20.0,35.0,57.1,202.5,0.9,35.3,111.1,3.1,1.0,70.3,313.5,4.5,8.6,7.1,0.6,16.4,6.3,51.5,0.6,1.7,2.4
2000,Ohio State,11,18.0,19.5,35.8,54.3,227.7,1.3,36.0,91.6,2.5,0.9,71.8,319.4,4.4,9.5,6.5,2.4,18.4,6.2,51.5,0.9,1.6,2.5
2000,Memphis,11,18.1,19.8,37.2,53.3,202.5,0.8,31.5,72.7,2.3,0.5,68.6,275.3,4.0,9.5,4.7,1.1,15.3,8.6,68.4,1.1,1.2,2.3
2000,Michigan,11,18.3,19.9,35.0,56.9,229.1,1.2,38.6,152.1,3.9,1.0,73.6,381.2,5.2,11.0,8.0,1.4,20.4,5.7,49.2,1.1,1.3,2.4
2000,South Florida,11,18.3,15.1,30.3,49.8,174.5,1.1,36.0,122.5,3.4,1.1,66.3,296.9,4.5,8.3,6.5,2.2,17.0,6.0,45.2,0.7,0.8,1.5
2000,Kansas State,13,18.5,15.7,30.7,51.1,172.4,0.6,36.4,98.2,2.7,1.5,67.1,270.5,4.0,7.3,6.0,1.8,15.2,7.6,55.4,0.7,1.5,2.2
2000,Oregon State,11,18.5,16.7,33.5,50.0,221.3,1.0,35.0,93.1,2.7,0.8,68.5,314.4,4.6,9.8,5.0,3.0,17.8,6.8,64.2,0.9,2.0,2.9
2000,Utah,11,18.8,12.5,26.2,47.6,160.1,1.1,40.6,128.2,3.2,0.8,66.8,288.3,4.3,6.5,7.5,2.5,16.5,5.9,49.5,0.6,0.6,1.3
2000,Colorado State,11,18.9,15.5,28.3,54.7,181.6,1.1,39.1,146.5,3.7,1.0,67.4,328.1,4.9,8.5,8.1,0.6,17.3,5.5,45.7,1.0,1.2,2.2
2000,,,,,,,,,,,,,,,,,,,,,,,,
2000,,,,,,,,,,,,,,,,,,,,,,,,
2000,Ohio,11,18.9,16.3,30.3,53.8,219.9,1.1,35.0,129.4,3.7,1.2,65.3,349.3,5.4,9.3,7.3,1.3,17.8,4.7,41.9,0.8,1.2,2.0
2000,Georgia Tech,11,19.0,22.5,39.1,57.7,285.2,1.7,33.7,94.5,2.8,0.5,72.8,379.6,5.2,12.1,6.9,1.8,20.8,6.8,53.8,1.4,1.4,2.7
2000,Pitt,11,19.1,18.5,35.2,52.5,226.0,1.0,37.9,99.7,2.6,1.0,73.1,325.7,4.5,10.1,6.5,2.2,18.7,7.2,60.0,0.5,1.2,1.6
2000,Clemson,11,19.3,16.5,33.4,49.6,238.6,0.8,36.1,101.8,2.8,1.4,69.5,340.5,4.9,9.4,5.7,2.2,17.3,7.5,69.5,0.8,1.3,2.1
2000,Syracuse,11,19.3,13.5,29.6,45.4,176.1,0.8,36.0,135.8,3.8,1.1,65.6,311.9,4.8,7.6,6.3,1.5,15.4,6.9,53.8,0.8,0.6,1.5
2000,Tennessee,11,19.3,17.8,33.3,53.6,220.2,1.5,30.7,74.3,2.4,0.6,64.0,294.5,4.6,9.8,5.3,2.3,17.4,6.6,57.3,1.3,0.8,2.1
2000,Nebraska,11,19.4,16.3,35.7,45.5,208.3,0.9,31.4,113.5,3.6,1.1,67.1,321.8,4.8,9.0,5.8,1.8,16.6,7.6,59.6,0.5,1.3,1.7
2000,Fresno State,11,19.5,17.7,33.6,52.7,205.5,0.8,41.3,147.6,3.6,1.5,74.9,353.2,4.7,9.2,8.5,2.6,20.4,8.5,68.2,0.9,1.2,2.1
2000,Auburn,12,19.6,19.1,34.6,55.2,205.0,1.8,29.7,98.3,3.3,0.5,64.3,303.3,4.7,9.2,5.6,1.4,16.2,6.0,47.5,0.7,1.3,2.0
2000,Florida,12,19.7,19.8,36.9,53.5,212.9,0.8,36.3,133.1,3.7,1.0,73.2,346.0,4.7,9.4,7.7,1.3,18.3,6.8,54.7,1.3,2.0,3.3
2000,Texas Tech,12,19.8,14.8,28.6,51.6,164.1,0.6,41.3,156.6,3.8,1.7,69.8,320.7,4.6,8.0,9.1,1.7,18.8,8.3,77.3,1.2,1.3,2.4
2000,Oregon,11,19.9,13.6,31.9,42.7,207.1,1.3,35.1,124.0,3.5,1.2,67.0,331.1,4.9,7.6,6.2,1.8,15.6,8.5,71.5,0.9,1.2,2.1
2000,LSU,11,20.1,20.0,36.5,54.9,216.2,1.4,35.2,134.7,3.8,0.8,71.6,350.9,4.9,9.7,8.1,1.5,19.3,4.5,35.4,1.1,0.8,1.9
2000,UCF,11,20.1,16.1,29.8,54.0,192.9,1.0,41.8,130.9,3.1,1.4,71.6,323.8,4.5,8.2,9.4,2.5,20.0,6.9,61.3,1.2,1.4,2.5
2000,Wisconsin,12,20.4,17.3,35.3,49.2,238.1,1.2,34.7,153.7,4.4,0.9,69.9,391.8,5.6,9.9,8.2,1.8,19.9,6.9,52.1,0.5,1.7,2.2
2000,Notre Dame,11,20.5,14.2,28.2,50.3,206.2,1.4,39.9,147.6,3.7,1.3,68.1,353.8,5.2,8.6,8.6,1.4,18.6,6.2,47.3,0.8,1.2,2.0
2000,East Carolina,11,20.8,15.3,29.0,52.7,203.5,1.0,42.6,142.4,3.3,1.3,71.6,345.9,4.8,8.7,8.5,1.1,18.3,7.0,58.4,0.8,1.1,1.9
2000,New Mexico,12,20.8,15.9,31.3,50.9,194.1,1.0,35.9,115.3,3.2,1.2,67.2,309.4,4.6,9.2,6.3,1.2,16.6,5.5,47.2,1.0,1.3,2.3
2000,Purdue,11,21.1,17.8,29.7,59.9,201.4,1.2,36.6,139.1,3.8,1.2,66.4,340.5,5.1,8.5,8.4,1.0,17.9,6.6,51.5,0.8,0.9,1.7
2000,Michigan State,11,21.2,14.5,28.2,51.6,164.1,1.0,38.2,154.2,4.0,1.4,66.4,318.3,4.8,7.5,7.1,1.5,16.1,6.3,55.0,0.5,1.1,1.6
2000,,,,,,,,,,,,,,,,,,,,,,,,
2000,,,,,,,,,,,,,,,,,,,,,,,,
2000,Arizona,11,21.5,16.8,34.2,49.2,229.0,1.2,35.7,88.5,2.5,1.1,69.9,317.5,4.5,9.2,5.8,1.5,16.5,7.9,60.2,1.5,1.5,3.0
2000,UNLV,12,21.8,16.2,30.1,53.7,210.1,1.3,39.2,141.2,3.6,1.3,69.3,351.3,5.1,8.5,8.0,2.2,18.7,4.3,40.5,0.6,0.8,1.4
2000,Alabama,11,22.4,17.4,31.3,55.5,211.6,1.6,38.5,125.4,3.3,0.7,69.7,337.0,4.8,9.1,7.8,1.7,18.6,7.5,66.2,0.5,1.1,1.6
2000,Louisville,11,22.4,18.5,36.1,51.4,224.3,1.5,35.9,79.9,2.2,1.1,72.0,304.2,4.2,9.0,6.8,2.5,18.3,7.5,65.4,1.0,2.5,3.5
2000,Washington,11,22.4,14.9,31.5,47.4,207.9,1.2,37.0,141.5,3.8,1.4,68.5,349.5,5.1,8.5,7.9,1.6,18.0,9.0,71.8,1.6,0.5,2.2
2000,Virginia Tech,11,22.6,15.5,32.2,48.3,224.4,1.6,34.0,99.3,2.9,1.2,66.2,323.6,4.9,8.8,6.4,1.6,16.8,7.3,55.6,0.5,2.1,2.6
2000,Boise State,11,22.8,16.5,32.1,51.3,228.4,1.5,37.8,139.2,3.7,1.3,69.9,367.5,5.3,9.0,7.5,1.7,18.2,7.1,61.9,0.9,1.2,2.1
2000,Virginia,11,23.2,19.2,32.5,58.9,237.5,0.9,41.6,184.5,4.4,1.8,74.2,421.9,5.7,10.3,9.9,1.4,21.5,6.0,47.6,0.7,0.9,1.6
