date,home_away,opponent,score,passing_cmp,passing_att,passing_pct,passing_yds,passing_td,rushing_att,rushing_yds,rushing_avg,rushing_td,total_plays,total_yds,total_avg,first_down_pass,first_down_rush,first_down_pen,first_down_total,penalties,penalty_yds,fumbles,interceptions,turnovers
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
9/2/2000,,San Jose State,W (49-13),14,37,37.8,153,2,29,193,6.7,0,66,346,5.2,6,6,2,14,12,65,0,1,1
9/9/2000,@,Notre Dame,W (27-24),3,15,20,40,0,40,184,4.6,1,55,224,4.1,2,7,2,11,8,67,0,1,1
9/23/2000,,Iowa,W (42-13),19,40,47.5,252,1,31,47,1.5,0,71,299,4.2,11,5,2,18,7,57,0,2,2
9/30/2000,,Missouri,W (42-24),19,39,48.7,283,1,31,209,6.7,2,70,492,7,13,8,1,22,10,95,1,1,2
10/7/2000,@,Iowa State,W (49-27),22,43,51.2,346,2,25,37,1.5,1,68,383,5.6,14,2,2,18,8,71,0,2,2
10/14/2000,@,Texas Tech,W (56-3),22,48,45.8,181,0,12,19,1.6,0,60,200,3.3,9,1,1,11,12,83,0,2,2
10/21/2000,,Baylor,W (59-0),7,29,24.1,79,0,27,5,0.2,0,56,84,1.5,4,2,1,7,2,20,2,0,2
10/28/2000,@,Oklahoma,L (14-31),20,34,58.8,300,1,35,118,3.4,2,69,418,6.1,12,5,3,20,4,21,0,1,1
11/4/2000,,Kansas,W (56-17),16,31,51.6,169,0,29,97,3.3,2,60,266,4.4,8,8,1,17,5,49,1,1,2
11/11/2000,@,Kansas State,L (28-29),12,36,33.3,234,2,43,143,3.3,1,79,377,4.8,6,8,3,17,13,103,1,1,2
11/24/2000,,Colorado,W (34-32),25,41,61,254,1,43,197,4.6,3,84,451,5.4,14,12,2,28,3,25,0,2,2
12/30/2000,N,Northwestern*,W (66-17),,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
8/25/2001,,TCU,W (21-7),11,22,50,130,1,28,56,2,0,50,186,3.7,2,3,1,6,11,85,1,0,1
9/1/2001,,Troy,W (42-14),15,36,41.7,190,1,35,-25,-0.7,1,71,165,2.3,7,3,3,13,8,53,1,2,3
9/8/2001,,Notre Dame,W (27-10),16,32,50,119,0,30,43,1.4,1,62,162,2.6,6,4,4,14,9,63,2,2,4
9/20/2001,,Rice,W (48-3),8,25,32,169,0,47,196,4.2,0,72,365,5.1,6,10,1,17,7,34,0,2,2
9/29/2001,@,Missouri,W (36-3),16,43,37.2,138,0,23,67,2.9,0,66,205,3.1,6,4,3,13,3,37,0,0,0
10/6/2001,,Iowa State,W (48-14),13,29,44.8,214,1,38,122,3.2,1,67,336,5,8,10,2,20,6,55,0,2,2
10/13/2001,@,Baylor,W (48-7),15,43,34.9,158,0,33,29,0.9,0,76,187,2.5,8,4,2,14,4,43,1,3,4
10/20/2001,,Texas Tech,W (41-31),34,64,53.1,373,1,17,67,3.9,1,81,440,5.4,15,8,3,26,6,51,1,1,2
