school,link
Air Force,/cfb/schools/air-force/
Akron,/cfb/schools/akron/
Alabama,/cfb/schools/alabama/
Alameda Coast Guard,/cfb/schools/alameda-coast-guard/
Alcorn State,/cfb/schools/alcorn-state/
Amarillo Field,/cfb/schools/amarillo-field/
Amherst,/cfb/schools/amherst/
Appalachian State,/cfb/schools/appalachian-state/
Arizona,/cfb/schools/arizona/
Arizona State,/cfb/schools/arizona-state/
Arkansas,/cfb/schools/arkansas/
Arkansas State,/cfb/schools/arkansas-state/
Army,/cfb/schools/army/
Auburn,/cfb/schools/auburn/
Ball State,/cfb/schools/ball-state/
Bates,/cfb/schools/bates/
Baylor,/cfb/schools/baylor/
Beloit,/cfb/schools/beloit/
Birmingham-Southern,/cfb/schools/birmingham-southern/
Boise State,/cfb/schools/boise-state/
Boston College,/cfb/schools/boston-college/
Boston University,/cfb/schools/boston-university/
Bowdoin,/cfb/schools/bowdoin/
Bowling Green,/cfb/schools/bowling-green-state/
Bradley,/cfb/schools/bradley/
Brown,/cfb/schools/brown/
Bucknell,/cfb/schools/bucknell/
Buffalo,/cfb/schools/buffalo/
Butler,/cfb/schools/butler/
BYU,/cfb/schools/brigham-young/
Cal State Fullerton,/cfb/schools/cal-state-fullerton/
Cal State Los Angeles,/cfb/schools/cal-state-los-angeles/
California,/cfb/schools/california/
California-Santa Barbara,/cfb/schools/california-santa-barbara/
Camp Grant,/cfb/schools/camp-grant/
Carlisle,/cfb/schools/carlisle/
Carnegie Mellon,/cfb/schools/carnegie-mellon/
Centenary (LA),/cfb/schools/centenary-la/
Central Michigan,/cfb/schools/central-michigan/
Centre,/cfb/schools/centre/
Charlotte,/cfb/schools/charlotte/
Chattanooga,/cfb/schools/chattanooga/
Chicago,/cfb/schools/chicago/
Cincinnati,/cfb/schools/cincinnati/
Clemson,/cfb/schools/clemson/
Coast Guard,/cfb/schools/coast-guard/
Coastal Carolina,/cfb/schools/coastal-carolina/
Coe,/cfb/schools/coe/
Colby,/cfb/schools/colby/
Colgate,/cfb/schools/colgate/
Colorado,/cfb/schools/colorado/
Colorado College,/cfb/schools/colorado-college/
Colorado Mines,/cfb/schools/colorado-mines/
Colorado State,/cfb/schools/colorado-state/
Columbia,/cfb/schools/columbia/
Connecticut,/cfb/schools/connecticut/
Cornell,/cfb/schools/cornell/
Cornell College,/cfb/schools/cornell-college/
Creighton,/cfb/schools/creighton/
Cumberland,/cfb/schools/cumberland/
Dartmouth,/cfb/schools/dartmouth/
Davidson,/cfb/schools/davidson/
