year,school,conference,wins,losses,winning_pct,conf_wins,conf_losses,conf_winning_pct,ppg_offence,ppg_defence,SRS,SOS,ap_pre,ap_high,ap_post,notes
2000,Florida State,ACC,11,2,.846,8,0,1.000,39.3,10.5,23.13,5.59,2,1,5,
2000,Clemson,ACC,9,3,.750,6,2,.750,34.7,21.1,11.54,2.04,17,5,16,
2000,Georgia Tech,ACC,9,3,.750,6,2,.750,32.2,19.8,11.30,1.21,,15,17,
2000,Virginia,ACC,6,6,.500,5,3,.625,20.2,24.3,0.10,3.18,,,,
2000,North Carolina State,ACC,8,4,.667,4,4,.500,31.6,28.2,3.92,-0.33,,21,,
2000,North Carolina,ACC,6,5,.545,3,5,.375,24.5,25.8,2.40,1.85,,,,
2000,Maryland,ACC,5,6,.455,3,5,.375,22.5,25.8,0.54,2.26,,,,
2000,Wake Forest,ACC,2,9,.182,1,7,.125,16.5,32.9,-12.27,0.09,,,,
2000,Duke,ACC,0,11,.000,0,8,.000,14.1,39.1,-13.91,4.63,,,,
2000,,,,,,,,,,,,,,,,
2000,,,,,,,,,,,,,,,,
2000,Nebraska,Big 12 (North),10,2,.833,6,2,.750,43.5,19.2,19.01,4.51,1,1,8,
2000,Kansas State,Big 12 (North),11,3,.786,6,2,.750,39.2,18.6,15.72,3.93,8,2,9,
2000,Iowa State,Big 12 (North),9,3,.750,5,3,.625,28.6,26.8,6.43,2.84,,25,25,
2000,Colorado,Big 12 (North),3,8,.273,3,5,.375,22.9,25.8,3.56,7.92,24,23,,
2000,Kansas,Big 12 (North),4,7,.364,2,6,.250,23.7,32.6,-1.95,4.60,,,,
2000,Missouri,Big 12 (North),3,8,.273,2,6,.250,23.2,31.6,-2.63,3.55,,,,
2000,Oklahoma,Big 12 (South),13,0,1.000,8,0,1.000,37.0,14.9,21.56,5.32,19,1,1,
2000,Texas,Big 12 (South),9,3,.750,7,1,.875,37.9,19.3,13.78,0.78,7,5,12,
2000,Texas A&M,Big 12 (South),7,5,.583,5,3,.625,29.0,19.9,11.44,5.03,,21,,
2000,Texas Tech,Big 12 (South),7,6,.538,3,5,.375,25.4,21.4,4.81,1.65,,,,
2000,Oklahoma State,Big 12 (South),3,8,.273,1,7,.125,18.4,27.5,-3.18,2.63,,,,
2000,Baylor,Big 12 (South),2,9,.182,0,8,.000,12.6,36.1,-11.48,4.71,,,,
2000,,,,,,,,,,,,,,,,
2000,,,,,,,,,,,,,,,,
2000,Miami (FL),Big East,11,1,.917,7,0,1.000,42.2,15.8,23.22,5.22,5,2,2,
2000,Virginia Tech,Big East,11,1,.917,6,1,.857,40.3,22.4,19.42,4.00,11,2,6,
2000,Pitt,Big East,7,5,.583,4,3,.571,24.7,20.6,5.68,1.93,,,,
2000,Syracuse,Big East,6,5,.545,4,3,.571,26.7,19.3,6.94,3.12,,,,
2000,Boston College,Big East,7,5,.583,3,4,.429,31.5,23.1,6.30,1.72,,,,
2000,West Virginia,Big East,7,5,.583,3,4,.429,29.7,30.3,6.29,5.54,,,,
2000,Temple,Big East,4,7,.364,1,6,.143,20.4,24.5,-3.09,1.36,,,,
2000,Rutgers,Big East,3,8,.273,0,7,.000,21.2,36.3,-8.67,2.15,,,,
2000,,,,,,,,,,,,,,,,
2000,,,,,,,,,,,,,,,,
2000,Michigan,Big Ten,9,3,.750,6,2,.750,33.7,19.1,12.93,2.93,6,3,11,
2000,Northwestern,Big Ten,8,4,.667,6,2,.750,36.8,33.3,8.85,4.26,,12,,
2000,Purdue,Big Ten,8,4,.667,6,2,.750,31.8,22.2,9.26,2.93,14,9,13,
2000,Ohio State,Big Ten,8,4,.667,5,3,.625,27.6,18.5,10.97,4.13,16,6,,
2000,Wisconsin,Big Ten,9,4,.692,4,4,.500,25.2,20.4,9.65,4.42,4,4,23,
2000,Minnesota,Big Ten,6,6,.500,4,4,.500,31.3,26.5,3.02,0.10,,22,,
2000,Penn State,Big Ten,5,7,.417,4,4,.500,22.0,24.4,-0.05,3.71,22,22,,
2000,Iowa,Big Ten,3,9,.250,3,5,.375,16.9,27.5,-2.40,6.86,,,,
2000,Illinois,Big Ten,5,6,.455,2,6,.250,26.7,26.0,2.59,2.31,21,19,,
2000,Michigan State,Big Ten,5,6,.455,2,6,.250,17.9,21.2,2.79,5.52,25,18,,
2000,Indiana,Big Ten,3,8,.273,2,6,.250,30.6,38.8,-2.67,3.88,,,,
2000,,,,,,,,,,,,,,,,
2000,,,,,,,,,,,,,,,,
2000,Boise State,Big West,10,2,.833,5,0,1.000,44.3,22.8,6.78,-8.80,,,,
2000,Utah State,Big West,5,6,.455,4,1,.800,26.5,32.4,-11.16,-5.53,,,,
2000,Idaho,Big West,5,6,.455,3,2,.600,29.2,34.3,-7.41,-3.23,,,,
2000,New Mexico State,Big West,3,8,.273,1,4,.200,26.8,32.5,-8.82,-4.00,,,,
2000,North Texas,Big West,3,8,.273,1,4,.200,14.7,27.3,-13.51,-5.69,,,,
2000,Arkansas State,Big West,1,10,.091,1,4,.200,22.5,37.3,-13.40,-1.58,,,,
2000,,,,,,,,,,,,,,,,
2000,,,,,,,,,,,,,,,,
2000,Louisville,CUSA,9,3,.750,6,1,.857,33.8,22.3,7.37,-2.22,,22,,
2000,East Carolina,CUSA,8,4,.667,5,2,.714,30.8,21.3,6.93,-0.07,,,,
2000,Cincinnati,CUSA,7,5,.583,5,2,.714,24.1,23.8,-0.11,-1.61,,,,
2000,Southern Mississippi,CUSA,8,4,.667,4,3,.571,26.2,16.9,7.44,-0.14,23,13,,
2000,UAB,CUSA,7,4,.636,3,3,.500,21.6,17.5,-0.69,-3.60,,,,
2000,Tulane,CUSA,6,5,.545,3,4,.429,29.9,31.5,-5.54,-5.27,,,,
2000,Memphis,CUSA,4,7,.364,2,5,.286,16.0,18.1,-7.05,-3.60,,,,
2000,Houston,CUSA,3,8,.273,2,5,.286,19.2,33.6,-10.67,-0.67,,,,
2000,Army,CUSA,1,10,.091,1,6,.143,20.4,33.8,-15.26,-2.26,,,,
2000,,,,,,,,,,,,,,,,
2000,,,,,,,,,,,,,,,,
2000,Notre Dame,Ind,9,3,.750,,,,29.4,22.3,12.45,5.12,,10,15,
2000,South Florida,Ind,7,4,.636,,,,25.3,18.3,-8.94,-12.13,,,,
2000,UCF,Ind,7,4,.636,,,,30.3,20.1,-1.83,-7.10,,,,
2000,Middle Tennessee State,Ind,6,5,.545,,,,31.8,28.7,-4.50,-6.50,,,,
2000,Connecticut,Ind,3,8,.273,,,,20.0,33.5,-16.91,-9.36,,,,
2000,Louisiana Tech,Ind,3,9,.250,,,,26.4,33.0,-10.72,-5.30,,,,
2000,Louisiana,Ind,1,10,.091,,,,15.5,32.3,-21.67,-8.58,,,,
2000,Louisiana-Monroe,Ind,1,10,.091,,,,8.7,37.7,-26.52,-7.89,,,,
2000,Navy,Ind,1,10,.091,,,,16.5,35.5,-15.36,0.73,,,,
2000,,,,,,,,,,,,,,,,
2000,,,,,,,,,,,,,,,,
2000,Marshall,MAC (East),8,5,.615,5,3,.625,28.2,22.8,-0.90,-4.83,,,,
2000,Ohio,MAC (East),7,4,.636,5,3,.625,31.2,18.9,-0.88,-8.24,,,,
2000,Akron,MAC (East),6,5,.545,5,3,.625,30.3,26.8,-5.38,-7.65,,,,
2000,Miami (OH),MAC (East),6,5,.545,5,3,.625,24.7,26.0,-7.92,-7.65,,,,
2000,Bowling Green,MAC (East),2,9,.182,2,6,.250,15.8,26.3,-13.95,-4.49,,,,
2000,Buffalo,MAC (East),2,9,.182,2,6,.250,16.1,41.1,-21.01,-7.28,,,,
2000,Kent State,MAC (East),1,10,.091,1,7,.125,11.6,32.6,-22.09,-5.82,,,,
2000,Western Michigan,MAC (West),9,3,.750,7,1,.875,29.9,11.6,5.96,-5.79,,,,
2000,Toledo,MAC (West),10,1,.909,6,1,.857,36.4,11.4,8.63,-9.28,,25,,
2000,Northern Illinois,MAC (West),6,5,.545,4,3,.571,37.2,25.5,-0.39,-5.21,,,,
2000,Ball State,MAC (West),5,6,.455,4,3,.571,19.3,31.7,-9.96,-4.41,,,,
2000,Eastern Michigan,MAC (West),3,8,.273,2,5,.286,19.0,31.8,-15.40,-4.31,,,,
2000,Central Michigan,MAC (West),2,9,.182,2,6,.250,12.5,34.2,-17.66,-3.66,,,,
2000,,,,,,,,,,,,,,,,
2000,,,,,,,,,,,,,,,,
2000,Colorado State,MWC,10,2,.833,6,1,.857,30.3,18.8,7.21,-3.54,,14,14,
2000,Air Force,MWC,9,3,.750,5,2,.714,35.1,26.0,2.84,-4.33,,,,
2000,Nevada-Las Vegas,MWC,8,5,.615,4,3,.571,28.5,21.2,1.23,-4.00,,,,
2000,BYU,MWC,6,6,.500,4,3,.571,23.3,25.8,-0.66,1.17,,,,
2000,New Mexico,MWC,5,7,.417,3,4,.429,19.1,20.8,-4.00,-0.75,,,,
2000,Utah,MWC,4,7,.364,3,4,.429,21.3,18.8,-0.19,-1.37,,,,
2000,San Diego State,MWC,3,8,.273,3,4,.429,15.5,24.8,-5.61,2.12,,,,
2000,Wyoming,MWC,1,10,.091,0,7,.000,15.5,35.7,-16.79,-1.52,,,,
2000,,,,,,,,,,,,,,,,
2000,,,,,,,,,,,,,,,,
2000,Oregon State,Pac-10,11,1,.917,7,1,.875,33.3,17.7,17.33,3.83,,4,4,
